,P0,Ls,DeltaG,DeltaH,DeltaH_0,P0_std,Ls_std,DeltaG_std,DeltaH_std,DeltaH_0_std
790_sim,0.07229544675644964,0.7291834262291692,-10.020723324618398,-6.044378330545879,1.0513534430213262e-06,0.010134350656749964,0.09886809846686696,1.292015882909965,0.8183756164685131,2.3367902041788532e-07
791_sim,0.10282303302150242,1.0097790724795759,-10.314182133315494,-5.225309405986925,4.893603885849549e-07,0.009602094313781048,0.07905710706422175,0.6792227150125371,0.4110725850842285,3.316151313307767e-07
792_sim,0.1020815626822511,1.047050480457081,-9.968676959570857,-5.0854372480591,2.9328184974395536e-07,0.007287870014749198,0.09442903869446974,0.6963643337931188,0.46298628087085536,2.7986790807982106e-07
793_sim,0.12052134792234463,1.1407140179424722,-10.042410683025489,-4.204470368988422,9.776586856894295e-07,0.00513852423581901,0.07924741778018571,0.5662119769552236,0.2925737091642613,3.3622681984789606e-07
794_sim,0.07200620193310225,0.7540005054544703,-10.12675229206932,-6.139093137391895,8.824536985941216e-07,0.00909599195816873,0.06770105428107304,0.8326862402297318,0.5525546807016563,2.3007486893988864e-07
795_sim,0.11474323092135597,0.9244807332746295,-9.903214145363732,-4.051622915835144,6.561333223975477e-07,0.01070278908186003,0.24479406016482722,2.589993938254198,1.0744264827796266,3.4189880724006954e-07
796_sim,0.08329602098203842,0.8344172833813344,-9.946370157366008,-5.124605943300411,1.2575173316095676e-07,0.012020054346031268,0.11921615867646969,1.321228148098464,0.7350131573802042,2.592913351312057e-07
797_sim,0.11429126522596754,1.3258618211177693,-9.872425234599763,-4.13681220120683,2.2327269215814395e-07,0.007548472695966557,0.13554949344309566,0.9543150544205915,0.42249770067155945,3.509979435920911e-07
798_sim,0.07123122799580414,0.6970903815874622,-10.15787232377654,-6.817215047775265,6.655541451065415e-07,0.0037866225392936066,0.04867651680799128,0.6017512427213593,0.47256183284731684,2.7129716747445666e-07
799_sim,0.10703582743108032,0.808777885942369,-9.992153958799095,-5.766700049371711,5.78807692152024e-07,0.024916681849418146,0.0639061187947789,0.6901781933845401,0.4567763652523265,3.989964664796843e-07
800_sim,0.10001273671241656,0.8310173843070449,-9.928629413740676,-4.977781446668081,6.476284316828652e-07,0.0045810222573118295,0.15437431754475697,1.7973356630901562,0.9287253438801281,3.373647286206546e-07
801_sim,0.08401510483350316,0.8523516071366095,-10.096743854452868,-5.458130143282256,4.3238881439330504e-07,0.006961764529738698,0.062492838110044184,0.6406390422623761,0.4044082006168695,2.403808030876178e-07
802_sim,0.09826259789818761,1.142530003080823,-9.944147990019914,-4.9113765094370185,7.356622649223994e-07,0.005973141535495514,0.15782650917647142,1.2794626164024148,0.6787673077820301,3.954642941114519e-07
803_sim,0.0712710820738005,0.6940975574847333,-10.279343069755408,-6.955181951164582,-9.376487560111135e-08,0.0025258833223086503,0.029555270210759963,0.30382957480734774,0.29141014843167395,2.965017811904419e-07
804_sim,0.07657120725153409,0.7892572772900899,-10.159355792606087,-6.522843009633431,3.648570689920809e-07,0.0025861011107496585,0.03457521083102986,0.30350111113895617,0.2772963538148943,2.868691312027689e-07
805_sim,0.07783014269464159,0.7741647606547036,-10.225710894999358,-6.087277547673238,5.951411106655251e-08,0.006435606166101872,0.06705718895326909,0.49719224879596396,0.527550737347069,2.5140149648180564e-07
806_sim,0.10125230536374909,1.003897495343379,-10.088483251377895,-4.868685228924509,6.441844735940593e-07,0.005614669682610602,0.05787033919883768,0.243116219717282,0.2863824336117615,2.9416580478048085e-07
807_sim,0.09788328096504996,0.9848719752882985,-10.140276175557432,-5.401297472766507,3.0327401724954284e-07,0.007997354081885684,0.08844661558098908,0.7585476093703897,0.49282675659757524,3.028834178613027e-07
808_sim,0.07719611539283454,0.9507824718141269,-8.058936385831963,-7.001004696416342,6.939466664656044e-06,0.10332604761792803,1.0956211180574436,1.391438534626874,1.2815683513324356,4.013538302188204e-05
809_sim,0.07394333186149361,0.9149961891733398,-9.907480274164026,-5.998881638642808,3.4432495935764314e-07,0.008814484133007726,0.10054320423303464,1.0049335544076619,0.6641249222861484,2.791818745069442e-07
810_sim,0.07347603808507548,0.8505061168492656,-9.998462357989991,-5.848517915523117,6.296981103537439e-07,0.011025326765811153,0.0388750242107849,0.1288696675368908,0.25818553969708347,2.61578313334859e-07
811_sim,0.09571481700893512,0.8067076468334082,-10.221326837162328,-5.9531401511654956,2.157512596829851e-07,0.014347161789629252,0.04472666363287354,0.3740004511091358,0.33796254303570816,3.525067809849577e-07
