,DeltaG,DeltaH,DeltaH_0,DeltaG_std,DeltaH_std,DeltaH_0_std
545_sim,-9.883964604183396,-5.482888987614419,1.0438393714480466e-06,0.8033795149231101,0.44259144939665573,4.1197061402393197e-07
546_sim,-9.389473252602652,-4.770285903632182,2.3275024776664533e-06,0.6046868735880431,0.29720622882041975,1.2030441328468756e-06
547_sim,-8.52784659083855,-5.2747882652725595,4.429399155982381e-06,0.34861486031908423,0.3019518544339138,2.1800563325304985e-06
548_sim,-8.078371944159581,-5.034373618203716,-3.0191685522895473e-06,0.5698276370666948,0.5698429122713142,3.4221540376471913e-06
549_sim,-9.881540706649316,-4.945845737372875,5.93616616440835e-07,0.18955090271478423,0.08225100806262432,3.05928163346787e-07
550_sim,-8.35497100500599,-4.83210439747039,-3.1563233509361408e-06,0.6112901746537739,0.49727317174881225,2.9379276878973946e-06
551_sim,-9.340627512764831,-4.729380850503379,2.0683769259173214e-06,0.7044588589770016,0.34832518775745624,1.0656322599029234e-06
552_sim,-8.31916564688214,-4.827938257733247,-2.183392520817804e-06,0.7673879312576554,0.5704712014751273,2.973944433040811e-06
553_sim,-10.353763558268875,-5.243548051630689,1.10399556608867e-06,0.6371400266686277,0.3000495756293499,7.818323051081217e-07
554_sim,-9.764638998560283,-5.6694987337942155,-3.5799870035641267e-07,1.2661668734154683,0.7249011233792718,8.032081823148528e-07
555_sim,-8.351420087749766,-5.864549886531763,5.2234405682289865e-06,0.9985336094743283,0.7722272331351023,2.881746020019664e-06
556_sim,-9.059731526833225,-5.639136188776933,-8.94326329520684e-07,0.9841930188640942,0.6310025086863297,2.140516855431874e-06
557_sim,-7.488094135586192,-4.38281020315804,-5.615965373466747e-06,1.4167097071315238,1.0949468781648455,4.455203923113837e-06
558_sim,-7.989974806164881,-5.1707646150695865,-3.4736995070994585e-06,0.47457705863231864,0.5865525908348762,3.715436586584017e-06
559_sim,-9.677054068722517,-4.514087539635111,-4.726222982242677e-07,0.932858412799756,0.4288269349349999,8.84367123843551e-07
560_sim,-7.492662119288732,-6.8460157239836015,1.0331502641426145e-05,1.454291916927131,1.544371703184689,4.672524024690094e-06
561_sim,-10.105977146922946,-5.163490369569338,7.129383938264631e-07,0.47084728981868773,0.16974484487165795,7.152950843498245e-07
562_sim,-7.768279170272188,-4.848748233001839,-4.527732789166491e-06,0.7991359871283092,0.7621716453322093,4.006525808695609e-06
563_sim,-8.67060541719315,-5.027665335100383,3.6010239239622366e-06,0.44310700643382095,0.3184163132545324,2.0288872834950957e-06
564_sim,-8.974208038732007,-4.704483272466337,-1.6156163231627337e-06,0.6967790080335357,0.3878998044796794,1.5774246202949041e-06
565_sim,-7.679238772616846,-6.554509424114466,8.841337488983561e-06,1.3575783395839751,1.325115260899239,4.30234042291983e-06
566_sim,-8.348983083037796,-5.949703472545778,4.976240370939354e-06,1.1729564387064433,0.8882871671908246,2.672012838453059e-06
567_sim,-7.796485306042839,-4.6465125674501255,-4.754103652428411e-06,0.998570818606178,0.8181023507560116,3.985887387692594e-06
568_sim,-7.2184767652446045,-4.532044488605759,-8.458080247290125e-06,1.1808949891430593,1.21810776135957,5.4438734125686465e-06
