,DeltaG,DeltaH,DeltaH_0,DeltaG_std,DeltaH_std,DeltaH_0_std
144_sim,-10.00024435887341,-5.1591024761162885,4.426499522412729e-07,0.11153990613835697,0.03460316207655963,2.8048444674754857e-07
145_sim,-8.038440777809514,-4.9726618651099015,5.625165246376227e-06,0.4215419965340695,0.443753636235938,2.858433057178389e-06
146_sim,-9.315314841106188,-4.547264381569411,-6.052537943341284e-07,0.0002560786292633867,0.16194953986087857,1.7310917345842438e-06
147_sim,-8.466968276754965,-4.238614460756927,-2.2332813444735443e-06,0.3932344728603942,0.3115187640950545,2.186545100570762e-06
148_sim,-8.635238424055563,-5.395678699535993,3.997136635232724e-06,0.6962140888635505,0.3905844456635329,2.593877852606351e-06
149_sim,-8.8527617688393,-5.432353868086192,3.704282124264628e-06,0.00041367925145648066,0.2443970527207549,2.064915662169043e-06
150_sim,-8.219361450023895,-4.876583804204581,-2.737850178225228e-06,0.4696561509789528,0.4705489250990305,3.2017598753156682e-06
151_sim,-7.727908286005302,-6.5005505775144385,8.350527724200916e-06,0.0002798369283748152,0.4587097052965974,4.1907563800828215e-06
152_sim,-9.140060297191047,-4.887180467475298,-1.002955488349101e-06,0.3659054206324191,0.22821307212103525,1.6930963701567884e-06
153_sim,-8.251374015487938,-5.547550717585431,5.035288880950134e-06,0.38914849693582015,0.42352284015619723,2.7361472091552666e-06
154_sim,-9.941720123516102,-5.267069764550569,2.473522997732891e-07,0.09985050672355475,0.03632667609340597,2.8455684742726793e-07
155_sim,-9.191694391934824,-4.624750391454026,-5.765878307332379e-07,0.3449718383377855,0.195811430420479,1.4594806418144198e-06
156_sim,-7.954848145519889,-4.635558479043284,-3.007997877242531e-06,0.45424003140843017,0.4990246275360711,3.293278717775618e-06
157_sim,-8.303370773884799,-5.036718157779491,-3.3171183929728493e-06,0.4603979359699813,0.48356898522258823,3.201553089753743e-06
158_sim,-8.036403537293452,-5.213889683016089,-3.3546167279047305e-06,0.45539798244462193,0.5621798171991575,3.6260833848893335e-06
159_sim,-7.813212559378211,-4.718987525691714,-4.045127464926193e-06,0.5075239821423337,0.6151283739184519,3.7598931216667235e-06
