,P0,Ls,DeltaG,DeltaH,DeltaH_0,P0_std,Ls_std,DeltaG_std,DeltaH_std,DeltaH_0_std
319_sim,0.1102200371896365,0.9607987797012084,-10.015592823417238,-4.615908344686371,4.260919170710632e-07,0.005261937397959061,0.04642470737603023,0.15116337916060402,0.22521234572223353,3.759226088156287e-07
320_sim,0.07690605212737173,1.0113228207519844,-8.067072219046208,-7.011662168467431,6.959499536153809e-06,0.10403553686255446,0.9814811089201405,1.0401605118901835,0.9957203960326884,4.0489533181957764e-05
321_sim,0.12600825941219132,1.0244118071951798,-9.865901695487821,-4.158959485564452,3.545426787096726e-07,0.00430957815744027,0.03544960903003589,0.11004493223361204,0.15410646574943107,3.3257031411298567e-07
322_sim,0.07736517536449675,0.9975584428679217,-8.065195354980283,-7.008709640679046,5.9046384241296475e-06,0.08433456037988324,0.9983003864916836,1.0220175227580561,0.9982304317046997,3.39540311131546e-05
323_sim,0.07511864586132284,0.6541011095122121,-10.247962920818619,-7.371394326448255,7.067861667484622e-07,0.0036534716080447297,0.0317852055949228,0.08416292226047241,0.3679549482498005,3.0128067749441983e-07
324_sim,0.07408028627463756,1.031043651996743,-8.080370232064054,-7.016497601395504,6.458679213189904e-06,0.08888814508011444,0.9749376666327791,1.0087087643257908,0.9957040210081832,3.5572583051394604e-05
325_sim,0.08928628163970852,0.9140127365786668,-10.096031942469459,-5.840607521321335,2.3493966418153272e-07,0.006195408703738306,0.06356116021366955,0.11192405181905186,0.4001202528828771,2.792871434208904e-07
326_sim,0.0923600556063617,0.7713495375241651,-10.09543517266558,-4.832975872941143,4.096976733501879e-07,0.00453128543980787,0.03765094305279936,0.12404477203470407,0.23085969121938027,2.44930515074477e-07
327_sim,0.11905145567376996,1.0391735348368056,-10.087705599188268,-4.474522539472547,4.636745770105637e-08,0.004222680776327205,0.03684109247047169,0.1134350301701926,0.15548965577379698,2.863676489708463e-07
328_sim,0.0838781369621093,0.7529571627502955,-10.109939939781807,-6.032815301577214,3.0852963402866933e-07,0.00233297305654052,0.02077723763717589,0.11353794582131384,0.16936716542128605,2.3975584208664107e-07
329_sim,0.08885956339930297,0.8704637103027776,-9.877127285086287,-5.032239519134915,7.234518988267408e-07,0.00489657637218673,0.04817794416485391,0.1288821385472961,0.27429195836374554,2.86890759213429e-07
330_sim,0.10366379713468322,1.0326111669027802,-10.10827055448365,-4.9939377246032155,5.737558303847329e-07,0.005731172265626838,0.05705252165951526,0.20877309606452898,0.2782909873069059,3.224617975633393e-07
331_sim,0.08387456903429724,0.843851065433265,-10.400746801708596,-5.5498588999228815,3.020367703882447e-08,0.0037847359604516978,0.037980714560560416,0.14592836967690886,0.24138014190206408,3.235141091960079e-07
332_sim,0.0837116014707792,0.9506859579862658,-10.040214845611288,-5.5091170821515725,1.041925717831931e-06,0.00459411187666544,0.052220986915651,0.12023165364877907,0.29062113392858074,3.045697925210468e-07
