,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
336_sim,0.09394452244194436,-9.0676064849043,-5.022181964030447,1.1226011242603952e-06,0.0014763775632956075,0.35278131670745916,0.1969711000054047,1.4414390564117233e-06
337_sim,0.09345139372268245,-9.425984391821594,-5.1851423512824875,-2.2947090908592166e-07,0.0007836336726919649,0.2719846380740125,0.12145740924597187,9.021714970567379e-07
338_sim,0.0935507529572572,-9.713135223017352,-5.282976878504393,4.36464683263524e-07,0.0001832930753838562,0.08779201985218626,0.03155574198941947,2.3744952061752877e-07
339_sim,0.09728422388436747,-9.40540871841002,-5.771037440236076,6.260645386611792e-07,0.0006204651677248484,0.17424239350512954,0.09849271941788956,7.545448260546764e-07
340_sim,0.11628866039487473,-9.934395928096455,-5.110919390329357,3.331524055315718e-07,0.0003277456968239737,0.11904815411841214,0.04845881350976157,4.1770873854949243e-07
341_sim,0.08940129907056454,-9.705063327522994,-5.273313416895812,1.0023894356708614e-06,0.0004678076305037114,0.17877285315360192,0.07517344158872584,5.507041005256517e-07
342_sim,0.10873237131050215,-9.603759275622926,-4.957112420385482,6.674226729562246e-07,0.0006026288087888916,0.20572484791628984,0.08667970021707727,7.04553532016212e-07
343_sim,0.0841892916333339,-9.751835970771173,-5.914991965069364,7.265685612966667e-07,0.00024147038398364894,0.13385643625379404,0.0496097096502872,3.5132093323952974e-07
344_sim,0.08988671402415675,-9.927764495303254,-5.340398908498344,-3.317668223405539e-08,0.0004473368968058052,0.22033367142048868,0.07703500249472708,5.665644410756313e-07
345_sim,0.09608165860989899,-9.237651796693148,-4.7813055358142345,-5.7438200998534265e-08,0.001085710020408959,0.27842960058973704,0.1393875904587066,1.0511977943421205e-06
346_sim,0.12256748620929056,-9.898213827567435,-3.9834595589334056,5.41301772605304e-07,0.0003283865584138896,0.1426341032338734,0.040121985643020455,3.551049060183713e-07
347_sim,0.1007602601654908,-9.385389001721855,-4.761336084176393,1.0418253028207387e-06,0.0006890152261562918,0.2163915472744906,0.0942870105804781,7.260962785647373e-07
348_sim,0.10793455342073238,-9.98195971500629,-4.971803310926729,2.544212958889059e-07,0.0002748902762148864,0.11820104339196866,0.04137093640981252,3.396876578038129e-07
349_sim,0.0857618668629505,-9.650450668844579,-5.34041676778872,7.604817499521327e-07,0.000399755411807205,0.16179284773228478,0.0663765250346439,4.806037125682512e-07
350_sim,0.08900891356592049,-9.843881594814416,-5.338780609519056,1.048720801573032e-06,0.00025696070364885086,0.10422063388023498,0.04211795978966626,3.10489135612723e-07
351_sim,0.13719306206989768,-8.735461315974362,-3.9397839385825875,2.211481686984829e-06,0.0045112456446553895,0.6437494643383551,0.40424552894730925,3.671144336486192e-06
352_sim,0.09909666943216222,-9.848471015577426,-4.71678898092301,3.016136457063079e-07,0.00024730902349291733,0.10677904792363598,0.036008686976660174,2.7969433036963625e-07
