,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
775_sim,0.11252385611178724,-9.661968650702123,-4.336195879210105,3.7307409316230953e-07,0.0017570061922715149,1.2311554237267692,0.5506656547638391,4.364816042563649e-07
776_sim,0.12448764976358084,-9.768723312183107,-4.844727375008434,9.310717499611255e-07,0.02394485522503265,0.33278068637215985,0.15920046881919922,6.486395755608599e-07
777_sim,0.0751541926828449,-9.783354140882484,-5.23228042973471,1.1996864588764012e-07,0.014966395704040321,0.6679957249073015,0.3469946112671012,3.967711798248279e-07
778_sim,0.1052827107145048,-9.843976517790107,-4.975217562973468,6.555458451340913e-07,0.005630430698889176,0.13349854205172404,0.056114734361145155,3.6422543156654923e-07
779_sim,0.12679180808549428,-9.507271521754118,-3.9484732628081627,1.1008240064406686e-06,0.002510972415228855,2.0952610842936936,0.8699786984931513,4.843985438016749e-07
780_sim,0.10509402923077855,-9.60856181780028,-5.156018961242923,3.0437499446493737e-07,0.007728176141123682,0.3713796429006888,0.19428972483638113,5.544238703513693e-07
781_sim,0.09359853719108092,-10.08188047993936,-5.580167188164265,4.563992983982306e-07,0.004020867108917161,1.1666263518682356,0.6410333719329774,3.1989681621415337e-07
782_sim,0.10619419370336726,-9.947428553072548,-4.92931080916765,6.16846341965125e-07,0.005265197898370798,0.15389187802948845,0.06730565743974566,3.558131542982611e-07
783_sim,0.12544524936462303,-9.459239861720492,-4.781032128319651,7.078528345066496e-07,0.02243104750980545,0.47304531943611416,0.23804904896348458,8.957733817232777e-07
784_sim,0.12250979774610511,-9.636157077254046,-5.152845426826054,6.576497123298535e-07,0.031145336433375696,0.3679041965853244,0.19109307287744726,5.965940889640697e-07
785_sim,0.1071933105378475,-9.978994111451849,-5.1529685170687545,2.434869042326214e-07,0.012393394550251732,0.37466381641525703,0.19128681267741277,2.682054683873491e-07
786_sim,0.1168312384370956,-9.89416869544968,-4.446685020224784,2.9083817439525704e-07,0.006773346813241831,0.9733561226952342,0.43602997297079105,3.84600518233511e-07
787_sim,0.0719777714361053,-9.983052063409872,-5.500208944252622,2.319394607529503e-07,0.014642301804433613,1.0611730700927127,0.5803237746380447,3.1193224731878e-07
788_sim,0.10287513545696983,-9.865621909438017,-5.336274465220612,3.200733021810525e-07,0.010518182570859114,0.7817424281686494,0.41716075245176715,4.2309989387976104e-07
789_sim,0.09467440253085153,-9.809940554070879,-5.154148282140377,8.616020118284909e-07,0.0035045001087033864,0.2774911894909648,0.13704135283592767,3.4537594689551626e-07
790_sim,0.10077797047455517,-9.427504789028198,-4.374411309886546,1.2002476092338778e-06,0.013435635263749725,1.2251705768732384,0.5664982128937323,5.584258933572489e-07
791_sim,0.10283880071479459,-9.820672806215457,-5.281180279727027,7.283409639654256e-07,0.00826687647552188,0.6388774922709182,0.333854524185755,5.251500197020039e-07
